index,year,id,dum,urban_disposable_income,rural_disposable_income,urbanization_rate,total_pop,urban_pop,rural_pop,urban_total_income,rural_total_income,total_income,P1/P,Z1/Z,LN(N/O),P2/P,Z2/Z,LN(Q/R),theil_index
0,2010,1,Beijing,29072.9,13262.3,0.86,1961.9,1686.45,275.45,49029970.11,3653110.61,52683080.72,0.931 ,0.860 ,0.079 ,0.069 ,0.140 ,(0.705),0.025000873
1,2011,1,Beijing,32903.0,14735.7,0.862,2018.6,1740.03,278.57,57252312.38,4104876.79,61357189.17,0.933 ,0.862 ,0.079 ,0.067 ,0.138 ,(0.724),0.025514486
2,2012,1,Beijing,36468.8,16475.7,0.862,2069.3,1783.74,285.56,65050733.32,4704856.91,69755590.23,0.933 ,0.862 ,0.079 ,0.067 ,0.138 ,(0.716),0.025077936
3,2013,1,Beijing,40321.0,18337.5,0.863,2114.8,1825.07,289.73,73588744.24,5312879.87,78901624.11,0.933 ,0.863 ,0.078 ,0.067 ,0.137 ,(0.710),0.024575587
4,2014,1,Beijing,48531.8,18867.3,0.864,2151.6,1857.91,293.69,90167551.53,5541201.49,95708753.02,0.942 ,0.864 ,0.087 ,0.058 ,0.137 ,(0.858),0.032421275
5,2015,1,Beijing,52859.2,20568.7,0.865,2170.5,1877.48,293.02,99242222.96,6026989.05,105269212.02,0.943 ,0.865 ,0.086 ,0.057 ,0.135 ,(0.858),0.032029351
6,2016,1,Beijing,57275.3,22309.5,0.865,2172.9,1879.56,293.34,107652276.96,6544302.19,114196579.15,0.943 ,0.865 ,0.086 ,0.057 ,0.135 ,(0.857),0.031978186
7,2017,1,Beijing,62406.3,24240.5,0.865,2170.7,1877.66,293.04,117177532.43,7103545.2,124281077.63,0.943 ,0.865 ,0.086 ,0.057 ,0.135 ,(0.859),0.032120056
8,2018,1,Beijing,67989.9,26490.3,0.865,2154.2,1863.38,290.82,126691223.83,7703829.58,134395053.41,0.943 ,0.865 ,0.086 ,0.057 ,0.135 ,(0.857),0.031964111
9,2019,1,Beijing,73848.5,28928.4,0.866,2153.6,1865.02,288.58,137728752.23,8348227.1,146076979.33,0.943 ,0.866 ,0.085 ,0.057 ,0.134 ,(0.852),0.031462767
10,2010,2,Tianjin,24292.6,10074.9,0.796,1299.29,1033.59,265.7,25108471.71,2676949.34,27785421.05,0.904 ,0.796 ,0.127 ,0.096 ,0.205 ,(0.753),0.042683848
11,2011,2,Tianjin,26920.9,12321.2,0.805,1354.58,1090.44,264.14,29355542.74,3254559.96,32610102.7,0.900 ,0.805 ,0.112 ,0.100 ,0.195 ,(0.670),0.03376868
12,2012,2,Tianjin,29626.4,14025.5,0.816,1413.15,1152.42,260.73,34142169.21,3656814.97,37798984.18,0.903 ,0.816 ,0.102 ,0.097 ,0.185 ,(0.646),0.029861004
13,2013,2,Tianjin,32293.6,15841.0,0.82,17472.21,14328.96,3143.25,462733683.96,49792232.42,512525916.38,0.903 ,0.820 ,0.096 ,0.097 ,0.180 ,(0.616),0.026932144
14,2014,2,Tianjin,31506.0,17014.2,0.823,1516.81,1247.88,268.93,39315694.27,4575635.83,43891330.1,0.896 ,0.823 ,0.085 ,0.104 ,0.177 ,(0.531),0.020839614
15,2015,2,Tianjin,34101.3,18481.6,0.826,1546.95,1278.4,268.55,43595084.19,4963243.29,48558327.48,0.898 ,0.826 ,0.083 ,0.102 ,0.174 ,(0.530),0.020244091
16,2016,2,Tianjin,37109.6,20075.6,0.829,1562.12,1295.47,266.65,48074229.38,5353236.71,53427466.09,0.900 ,0.829 ,0.082 ,0.100 ,0.171 ,(0.533),0.020036927
17,2017,2,Tianjin,40277.5,21753.7,0.829,1556.87,1291.11,265.76,52002775.3,5781213.47,57783988.78,0.900 ,0.829 ,0.082 ,0.100 ,0.171 ,(0.534),0.02012775
18,2018,2,Tianjin,42976.3,23065.2,0.832,1559.6,1296.81,262.79,55731983.86,6061363.88,61793347.74,0.902 ,0.832 ,0.081 ,0.098 ,0.169 ,(0.541),0.020238171
19,2019,2,Tianjin,46118.9,24804.1,0.835,1561.83,1303.82,258.01,60130545.15,6399812.9,66530358.04,0.904 ,0.835 ,0.079 ,0.096 ,0.165 ,(0.541),0.019761923
20,2010,3,Taiyuan City,16432.95,7703.0,0.825,420.47,347.05,73.41,5703112.21,565514.2,6268626.41,0.910 ,0.825 ,0.097 ,0.090 ,0.175 ,(0.660),0.028992172
21,2011,3,Taiyuan City,19185.64,8995.0,0.833,423.54,353.02,70.52,6772841.32,634319.3,7407160.62,0.914 ,0.833 ,0.093 ,0.086 ,0.167 ,(0.665),0.027727793
22,2012,3,Taiyuan City,21507.48,10201.0,0.838,425.63,356.51,69.12,7667618.39,705125.76,8372744.15,0.916 ,0.838 ,0.089 ,0.084 ,0.162 ,(0.657),0.026421721
23,2013,3,Taiyuan City,23873.3,11425.0,0.841,427.77,359.84,67.93,8590547.34,776099.11,9366646.45,0.917 ,0.841 ,0.086 ,0.083 ,0.159 ,(0.651),0.025371095
24,2014,3,Taiyuan City,25768.36,12616.0,0.842,429.89,362.18,67.71,9332840.26,854202.87,10187043.13,0.916 ,0.842 ,0.084 ,0.084 ,0.158 ,(0.630),0.023919509
25,2015,3,Taiyuan City,27726.76,13626.0,0.844,431.87,364.51,67.35,10106775.52,917766.97,11024542.49,0.917 ,0.844 ,0.083 ,0.083 ,0.156 ,(0.628),0.023497001
26,2016,3,Taiyuan City,29632.14,14591.0,0.845,434.44,367.32,67.12,10884457.96,979400.45,11863858.41,0.917 ,0.845 ,0.082 ,0.083 ,0.155 ,(0.627),0.023186983
27,2017,3,Taiyuan City,31469.34,15595.0,0.847,437.97,370.97,67.0,11674116.52,1044896.19,12719012.71,0.918 ,0.847 ,0.080 ,0.082 ,0.153 ,(0.622),0.022634686
28,2018,3,Taiyuan City,33672.19,16860.0,0.849,442.15,375.27,66.87,12636243.25,1127485.52,13763728.77,0.918 ,0.849 ,0.079 ,0.082 ,0.151 ,(0.613),0.021855466
29,2019,3,Taiyuan City,36361.8,18377.0,0.852,446.19,380.35,65.83,13830344.83,1209827.74,15040172.58,0.920 ,0.852 ,0.076 ,0.080 ,0.148 ,(0.607),0.02088434
30,2010,4,Datong City,14418.51,4112.0,0.549,332.09,182.37,149.73,2629445.57,615676.6,3245122.17,0.810 ,0.549 ,0.389 ,0.190 ,0.451 ,(0.866),0.150990857
31,2011,4,Datong City,16936.74,4996.0,0.565,333.97,188.66,145.31,3195304.85,725979.25,3921284.1,0.815 ,0.565 ,0.366 ,0.185 ,0.435 ,(0.854),0.140346143
32,2012,4,Datong City,19360.91,5710.0,0.58,335.71,194.55,141.17,3766585.41,806053.86,4572639.28,0.824 ,0.580 ,0.352 ,0.176 ,0.420 ,(0.869),0.136419979
33,2013,4,Datong City,21316.36,6441.0,0.59,337.49,199.21,138.28,4246368.23,890674.36,5137042.59,0.827 ,0.590 ,0.337 ,0.173 ,0.410 ,(0.860),0.129272095
34,2014,4,Datong City,23042.99,7137.0,0.6,339.19,203.66,135.53,4692955.21,967304.73,5660259.94,0.829 ,0.600 ,0.323 ,0.171 ,0.400 ,(0.849),0.122411001
